address,country,lat,long,
CITY SQUARE RESIDENCES,Singapore,1.31056,103.857467,
CITY STUDIOS,Singapore,1.310072,103.852651,
CITY SUITES,Singapore,1.321375,103.852246,
CITY TOWERS,Singapore,1.317697,103.832876,
CITYLIFE@TAMPINES,Singapore,1.359486,103.941143,
CITYLIGHTS,Singapore,1.309416,103.863189,
CITYSCAPE @FARRER PARK,Singapore,1.317972,103.851078,
CITYVALE,Singapore,1.317703,103.842985,
CITYVISTA RESIDENCES,Singapore,1.309446,103.83787,
CLAREMONT,Singapore,1.311372,103.854751,
CLASSICAL TERRACE,Singapore,1.344744,103.876492,
CLAYMORE PLAZA APARTMENT,Singapore,1.306822,103.831563,
CLEMENTI GREEN,Singapore,1.313878,103.772184,
CLEMENTI PARK,Singapore,1.326106,103.765638,
CLEMENTIWOODS CONDOMINIUM,Singapore,1.296892,103.767371,
CLIFTEN,Singapore,1.317638,103.829207,
CLIVEDEN AT GRANGE,Singapore,1.299285,103.826619,
CLOVER BY THE PARK,Singapore,1.359824,103.845631,
CLOVER PARK,Singapore,1.359824,103.845631,
CLUNY COURT,Singapore,1.322648,103.81428,
CLUNY PARK,Singapore,1.319762,103.814531,
CLUNY PARK RESIDENCE,Singapore,1.322012,103.813921,
CLYDES RESIDENCE,Singapore,1.3174,103.852256,
CLYDESCOVE,Singapore,1.379478,103.961602,
CLYDESVIEW,Singapore,1.294247,103.818455,
CLYDESWOOD,Singapore,1.344426,103.866725,
COASTAL BREEZE RESIDENCES,Singapore,1.37839,103.957333,
COASTAL VIEW RESIDENCES,Singapore,1.379282,103.960998,
COASTARINA,Singapore,1.309678,103.918599,
COCO PALMS,Singapore,1.370916,103.945867,
COLCHESTER PARK,Singapore,1.35792,103.867364,
COMFORT GARDEN,Singapore,1.376922,103.74573,
COMMONWEALTH TOWERS,Singapore,1.295813,103.805637,
COMPASS HEIGHTS,Singapore,1.392086,103.896151,
CONCOURSE SKYLINE,Singapore,1.300582,103.861926,
CORAL ISLAND,Singapore,1.251919,103.846071,
CORAL PARK,Singapore,1.39359,103.911755,
CORALIS,Singapore,1.304574,103.905792,
CORALS AT KEPPEL BAY,Singapore,1.265951,103.816962,
CORONA COURT,Singapore,1.322632,103.795614,
CORONA VILLE,Singapore,1.32256,103.794662,
CORONATION ARCADE,Singapore,1.323249,103.81058,
CORONATION GARDENS,Singapore,1.352083,103.819836,
CORONATION GROVE,Singapore,1.322972,103.802659,
